                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1244,                 2.4968,                 1.3945,                0.01155,                0.48131,                 0.0094,                0.00378,                 2.5571,                    inf,                 4.9772,                 0.0005,                 0.0005,                 0.0005
                      2,                 1.6081,                 1.8353,                 1.7505,                0.00026,                0.00779,                0.00013,                  3e-05,                    nan,                    nan,                    nan,              0.0010099,              0.0010099,              0.0010099
                      3,                 1.7487,                 1.9589,                 1.8478,                  1e-05,                0.00078,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0015095,              0.0015095,              0.0015095
                      4,                 1.7616,                 1.9596,                 1.8418,                  2e-05,                0.00234,                  1e-05,                      0,                    nan,                    nan,                    nan,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6346,                 1.7837,                 1.7437,                0.03245,                0.20639,                0.03016,                0.01082,                 2.6567,                 71.124,                 3.5185,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.6234,                 1.6753,                 1.6993,                0.35361,                 0.1947,                0.11954,                0.04162,                 2.5679,                 47.338,                  3.486,               0.001901,               0.001901,               0.001901
                      7,                 1.5192,                 1.5553,                 1.6638,                0.33677,                0.34735,                0.31035,                0.15703,                  1.845,                 12.039,                 2.2029,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.4587,                 1.5269,                 1.6078,                0.57128,                0.46184,                0.50258,                0.25463,                 1.5746,                 4.2718,                 2.0097,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.5038,                 1.5563,                 1.6553,                0.52265,                0.53115,                0.52593,                0.28491,                 1.4739,                 3.3394,                 1.8067,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.4166,                 1.3963,                 1.5877,                0.57496,                0.55218,                0.57004,                0.26903,                 1.7201,                 3.0642,                 1.9942,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.387,                 1.3743,                 1.5732,                0.71605,                0.64019,                 0.7063,                0.39961,                 1.4714,                 2.1524,                 1.8099,               0.001802,               0.001802,               0.001802
                     12,                 1.3539,                 1.3599,                 1.5795,                 0.7008,                0.62386,                0.70708,                0.41906,                 1.3422,                 1.5468,                 1.6261,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.3319,                 1.3702,                 1.5213,                0.77325,                0.67601,                 0.7658,                 0.4645,                 1.3426,                 1.5473,                 1.5854,              0.0017624,              0.0017624,              0.0017624
                     14,                  1.316,                 1.2985,                 1.5165,                0.71673,                0.62072,                0.70765,                0.41291,                 1.3861,                 1.8183,                 1.6404,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.2729,                 1.2401,                 1.4874,                0.71389,                0.71706,                0.76053,                0.47619,                 1.3182,                 1.6761,                 1.6367,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.2668,                 1.2764,                 1.4774,                0.75882,                0.70872,                 0.7708,                 0.4565,                 1.3776,                 1.5898,                 1.6536,               0.001703,               0.001703,               0.001703
                     17,                 1.2892,                  1.268,                 1.4957,                0.66435,                0.66593,                0.70331,                0.42839,                 1.3346,                 1.9877,                 1.6023,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.2051,                 1.2413,                 1.4463,                0.77538,                0.74766,                0.81968,                0.51718,                 1.2257,                 1.3625,                 1.5475,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.1892,                 1.1784,                 1.4679,                0.72218,                0.72072,                0.75851,                0.47688,                 1.2004,                 1.3668,                 1.5157,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.1896,                  1.172,                  1.431,                0.75726,                0.68146,                 0.7613,                0.48271,                 1.2553,                 1.5333,                 1.5704,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.1632,                 1.1518,                 1.4138,                0.83508,                0.76111,                0.84777,                0.57957,                 1.0855,                 1.2021,                 1.3818,               0.001604,               0.001604,               0.001604
                     22,                 1.1562,                 1.1331,                 1.4092,                0.84274,                0.78044,                0.86589,                0.59987,                 1.0922,                 1.1052,                 1.4021,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.1332,                 1.1225,                 1.3987,                0.84874,                0.81308,                0.88353,                0.62114,                 1.0466,                0.91193,                 1.3537,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.0529,                 1.0315,                 1.3274,                0.84825,                0.79751,                0.88838,                0.63558,                 0.9758,                0.95388,                 1.3133,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.1038,                 1.0555,                 1.3723,                0.79554,                0.78115,                0.84909,                0.57764,                 1.0524,                 1.1633,                 1.3601,              0.0015248,              0.0015248,              0.0015248
                     26,                  1.087,                 1.0295,                 1.3457,                0.80894,                0.81931,                0.87449,                 0.6093,                 1.0114,                0.99014,                  1.336,               0.001505,               0.001505,               0.001505
                     27,                 1.0637,                 1.0342,                  1.342,                0.84771,                0.80919,                0.88516,                0.61465,                  1.019,                 0.9735,                 1.3384,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.0914,                 1.0918,                 1.3808,                0.83688,                0.81113,                0.88487,                0.63106,                0.95293,                 1.0233,                 1.3014,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.0837,                 1.0487,                 1.3649,                0.86972,                0.82243,                0.90072,                0.65687,                0.94818,                0.90042,                 1.2613,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.0125,                0.96024,                 1.3226,                0.85372,                0.84091,                0.90824,                0.66513,                0.93758,                0.81407,                 1.2611,              0.0014258,              0.0014258,              0.0014258
                     31,                0.99253,                0.93921,                 1.2937,                0.87046,                0.84259,                0.90821,                0.66576,                0.94348,                0.80286,                 1.2475,               0.001406,               0.001406,               0.001406
                     32,                 1.0244,                0.94292,                 1.3321,                 0.8723,                0.84969,                0.91871,                0.67893,                0.95365,                 0.8044,                 1.2471,              0.0013862,              0.0013862,              0.0013862
                     33,                0.98911,                0.89536,                 1.2767,                0.88395,                0.86608,                0.92943,                0.69789,                 0.8961,                 0.7591,                 1.2125,              0.0013664,              0.0013664,              0.0013664
                     34,                0.98501,                0.91842,                 1.2899,                0.87656,                0.86276,                0.92058,                0.68922,                0.90273,                0.74627,                  1.239,              0.0013466,              0.0013466,              0.0013466
                     35,                0.93921,                0.89331,                 1.2703,                0.87865,                0.83567,                0.91041,                0.68729,                0.87581,                0.76688,                 1.2303,              0.0013268,              0.0013268,              0.0013268
                     36,                0.95776,                0.88313,                 1.2678,                 0.8663,                0.85788,                0.92847,                0.69762,                0.87388,                0.74396,                 1.1954,               0.001307,               0.001307,               0.001307
                     37,                0.93235,                0.86716,                 1.2622,                0.87881,                0.86975,                0.92885,                0.70932,                 0.8554,                0.73916,                 1.1964,              0.0012872,              0.0012872,              0.0012872
                     38,                0.95243,                0.91234,                 1.2693,                 0.8574,                0.86165,                0.91997,                0.72042,                0.79166,                0.76683,                 1.1536,              0.0012674,              0.0012674,              0.0012674
                     39,                0.93385,                 0.8834,                 1.2548,                0.88992,                0.86059,                 0.9257,                0.72153,                0.84614,                0.74146,                 1.1987,              0.0012476,              0.0012476,              0.0012476
                     40,                0.91899,                0.84413,                 1.2473,                0.88618,                0.85981,                0.93174,                0.72863,                0.82072,                0.71439,                 1.1868,              0.0012278,              0.0012278,              0.0012278
                     41,                0.91667,                  0.869,                 1.2543,                0.87977,                0.86626,                0.93607,                0.73319,                0.81019,                0.68423,                 1.1486,               0.001208,               0.001208,               0.001208
                     42,                0.92584,                 0.8173,                 1.2493,                0.90634,                0.87305,                0.94598,                0.75796,                0.76076,                0.64681,                 1.1587,              0.0011882,              0.0011882,              0.0011882
                     43,                0.89517,                0.82645,                 1.2531,                0.89645,                0.88396,                0.94215,                0.74469,                0.76457,                0.67967,                 1.1352,              0.0011684,              0.0011684,              0.0011684
                     44,                0.87041,                0.82814,                 1.2148,                0.85836,                 0.8826,                0.93848,                0.74755,                0.76819,                0.68891,                 1.1317,              0.0011486,              0.0011486,              0.0011486
                     45,                0.85373,                0.75907,                 1.1856,                0.90836,                0.89097,                0.94731,                0.75145,                0.77227,                0.63217,                 1.1242,              0.0011288,              0.0011288,              0.0011288
                     46,                0.85937,                0.75201,                   1.21,                0.90347,                0.89656,                0.95607,                0.77602,                0.71548,                0.62332,                 1.1135,               0.001109,               0.001109,               0.001109
                     47,                 0.8547,                0.78097,                 1.2086,                0.90792,                0.89097,                0.95538,                0.78401,                0.69526,                0.61402,                 1.0891,              0.0010892,              0.0010892,              0.0010892
                     48,                0.84925,                0.76825,                 1.2127,                0.91685,                0.89486,                0.95792,                0.79211,                0.69828,                0.57532,                 1.0841,              0.0010694,              0.0010694,              0.0010694
                     49,                0.83564,                0.74918,                 1.1924,                0.92948,                0.89564,                0.96114,                0.80109,                0.66189,                0.55751,                 1.0597,              0.0010496,              0.0010496,              0.0010496
