                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3725,                 2.5687,                 1.4647,                0.30522,                0.37066,                0.29352,                 0.1637,                 1.4618,                 2.2393,                 1.6718,             0.00036576,             0.00036576,             0.00036576
                      2,                 1.4259,                 1.9468,                 1.5139,                0.43182,                0.32153,                0.27227,                 0.1578,                 1.5013,                 3.1248,                 1.8721,             0.00072881,             0.00072881,             0.00072881
                      3,                 1.4661,                  1.931,                  1.541,                0.30301,                0.34217,                0.28738,                0.16002,                  1.499,                 2.5182,                 1.6862,              0.0010845,              0.0010845,              0.0010845
                      4,                 1.4619,                 1.8532,                  1.548,                0.29797,                0.46439,                0.35037,                0.20062,                 1.4207,                 2.2258,                 1.6767,               0.001078,               0.001078,               0.001078
                      5,                 1.4259,                 1.8165,                 1.5126,                 0.3586,                0.42807,                0.37958,                0.23067,                 1.3438,                 1.7163,                 1.5786,               0.001067,               0.001067,               0.001067
                      6,                 1.3986,                 1.7304,                 1.5118,                0.34433,                0.43219,                 0.3781,                0.22817,                 1.3658,                 1.8292,                 1.5524,               0.001056,               0.001056,               0.001056
                      7,                 1.3901,                 1.6887,                 1.4899,                0.43538,                0.52215,                0.43697,                0.25966,                 1.2858,                 1.7902,                 1.5054,               0.001045,               0.001045,               0.001045
                      8,                 1.3321,                 1.6028,                 1.4405,                0.49488,                0.46464,                 0.4679,                0.29727,                 1.2283,                 1.5647,                 1.4701,               0.001034,               0.001034,               0.001034
                      9,                 1.3073,                 1.5798,                 1.4186,                0.45255,                0.51635,                0.48189,                0.30538,                 1.2171,                 1.4641,                 1.4329,               0.001023,               0.001023,               0.001023
                     10,                 1.2886,                 1.4935,                  1.395,                0.46689,                0.50495,                0.48797,                0.30843,                 1.1981,                 1.3806,                 1.4256,               0.001012,               0.001012,               0.001012
                     11,                 1.2442,                 1.4618,                 1.3749,                0.62668,                0.51285,                0.53503,                0.34891,                 1.1451,                 1.2853,                 1.3736,               0.001001,               0.001001,               0.001001
                     12,                 1.2614,                 1.4785,                 1.3983,                0.53422,                0.55965,                0.55948,                0.35416,                 1.1688,                 1.2522,                 1.3793,             0.00099001,             0.00099001,             0.00099001
                     13,                 1.2381,                 1.4092,                 1.3764,                0.53158,                0.58084,                0.56541,                0.35814,                 1.1818,                 1.2345,                 1.3994,             0.00097901,             0.00097901,             0.00097901
                     14,                 1.2081,                 1.3868,                 1.3611,                0.60566,                0.55685,                0.59058,                 0.3904,                 1.1064,                 1.1551,                 1.3464,             0.00096801,             0.00096801,             0.00096801
                     15,                 1.1991,                 1.4291,                 1.3384,                0.56003,                0.56877,                0.57454,                0.37955,                 1.0899,                 1.1842,                 1.3473,             0.00095702,             0.00095702,             0.00095702
                     16,                 1.1706,                  1.345,                 1.3304,                0.67147,                0.54487,                0.61999,                 0.4168,                 1.0775,                 1.1721,                  1.323,             0.00094602,             0.00094602,             0.00094602
                     17,                 1.1688,                  1.279,                 1.3181,                0.59605,                0.61502,                0.61922,                0.41406,                 1.0987,                 1.1136,                 1.3552,             0.00093502,             0.00093502,             0.00093502
                     18,                 1.1639,                 1.2784,                 1.3279,                0.67641,                0.60754,                0.63947,                0.43378,                  1.038,                 1.0758,                 1.3022,             0.00092402,             0.00092402,             0.00092402
                     19,                 1.1305,                 1.2344,                 1.3031,                0.59678,                0.60044,                0.60288,                0.40524,                 1.0622,                 1.0705,                 1.3083,             0.00091302,             0.00091302,             0.00091302
                     20,                 1.1391,                 1.2042,                  1.311,                0.62994,                0.63327,                0.65994,                0.45025,                 1.0408,                 1.0181,                 1.3014,             0.00090202,             0.00090202,             0.00090202
                     21,                 1.1324,                 1.2065,                 1.3097,                0.61327,                0.69104,                0.68053,                0.47076,                 1.0064,                0.98629,                 1.2782,             0.00089102,             0.00089102,             0.00089102
                     22,                 1.1061,                 1.1915,                 1.2838,                0.68557,                 0.6637,                0.68905,                0.48455,                0.98075,                0.94355,                 1.2559,             0.00088002,             0.00088002,             0.00088002
                     23,                 1.0835,                 1.1473,                  1.268,                0.69564,                0.65646,                 0.6811,                0.47965,                0.96797,                0.94081,                 1.2472,             0.00086902,             0.00086902,             0.00086902
                     24,                 1.0749,                 1.1259,                 1.2679,                0.71412,                0.67931,                0.72549,                0.51929,                0.92451,                0.87701,                 1.2171,             0.00085803,             0.00085803,             0.00085803
                     25,                 1.0439,                 1.1993,                 1.2412,                 0.6818,                0.69775,                 0.7268,                0.51893,                0.93943,                0.90192,                 1.2287,             0.00084703,             0.00084703,             0.00084703
                     26,                 1.0322,                 1.0675,                  1.237,                0.68266,                0.71753,                0.72655,                0.52672,                0.92312,                0.86844,                 1.2273,             0.00083603,             0.00083603,             0.00083603
                     27,                 1.0433,                 1.1189,                 1.2299,                0.64819,                0.72719,                0.72988,                0.51885,                0.94463,                0.84303,                 1.2258,             0.00082503,             0.00082503,             0.00082503
                     28,                 1.0159,                 1.0248,                 1.2265,                0.76591,                0.69094,                0.75833,                 0.5573,                 0.9002,                0.80479,                 1.1984,             0.00081403,             0.00081403,             0.00081403
                     29,                 1.0351,                 1.0237,                 1.2356,                0.72117,                0.71291,                0.76689,                0.56259,                0.88261,                0.80563,                 1.1866,             0.00080303,             0.00080303,             0.00080303
                     30,                 1.0232,                 1.0121,                 1.2254,                 0.7518,                0.73653,                0.78852,                0.58079,                0.88553,                0.76274,                 1.1997,             0.00079203,             0.00079203,             0.00079203
                     31,                 0.9996,                0.98053,                 1.2211,                0.71492,                0.73605,                0.76956,                0.56782,                0.85525,                0.78126,                 1.1754,             0.00078103,             0.00078103,             0.00078103
                     32,                 1.0058,                0.99788,                 1.2065,                0.77698,                0.72877,                 0.7955,                0.59402,                0.85307,                0.73059,                 1.1624,             0.00077003,             0.00077003,             0.00077003
                     33,                0.98327,                0.98177,                 1.1889,                 0.7681,                0.77609,                0.81388,                0.60697,                0.86021,                0.70139,                 1.1595,             0.00075904,             0.00075904,             0.00075904
                     34,                0.96493,                0.91582,                 1.1892,                0.71298,                0.78542,                0.81052,                0.60206,                0.83538,                0.72864,                  1.149,             0.00074804,             0.00074804,             0.00074804
                     35,                0.96984,                0.91748,                 1.1767,                0.74287,                0.79729,                0.82816,                0.62701,                0.81295,                 0.6898,                 1.1346,             0.00073704,             0.00073704,             0.00073704
                     36,                0.96538,                0.92438,                 1.1927,                0.77523,                0.78108,                0.82109,                0.62608,                0.80668,                 0.6842,                 1.1342,             0.00072604,             0.00072604,             0.00072604
                     37,                0.94705,                0.93948,                 1.1936,                0.76051,                    0.8,                0.83217,                0.64073,                0.79338,                0.67044,                  1.123,             0.00071504,             0.00071504,             0.00071504
                     38,                0.92631,                 0.9751,                 1.1715,                 0.7517,                 0.8315,                0.85643,                0.66288,                0.79402,                0.63683,                 1.1184,             0.00070404,             0.00070404,             0.00070404
                     39,                0.91046,                0.87227,                 1.1588,                 0.7872,                0.80801,                0.85557,                0.65675,                0.78814,                0.63869,                 1.1145,             0.00069304,             0.00069304,             0.00069304
                     40,                 0.9248,                0.84586,                 1.1656,                0.82517,                0.77556,                0.85549,                0.66783,                0.75845,                0.61542,                 1.0989,             0.00068204,             0.00068204,             0.00068204
                     41,                0.87833,                0.93441,                 1.1186,                0.79593,                0.82631,                 0.8642,                0.67312,                0.75545,                0.58695,                 1.0878,             0.00067104,             0.00067104,             0.00067104
                     42,                0.92037,                0.84848,                 1.1658,                0.80574,                0.83046,                0.87616,                0.68991,                0.74424,                0.61289,                 1.0891,             0.00066005,             0.00066005,             0.00066005
                     43,                0.88806,                0.82421,                 1.1461,                0.83443,                0.83639,                0.89405,                    0.7,                0.73829,                0.56187,                 1.0737,             0.00064905,             0.00064905,             0.00064905
                     44,                0.88599,                 0.8219,                 1.1429,                0.84576,                0.83262,                0.89319,                 0.7083,                0.72036,                0.55841,                 1.0703,             0.00063805,             0.00063805,             0.00063805
                     45,                0.87435,                0.76559,                 1.1212,                0.83223,                0.84839,                0.89724,                0.70125,                0.73206,                0.54559,                 1.0713,             0.00062705,             0.00062705,             0.00062705
                     46,                0.87065,                0.78239,                 1.1283,                0.84075,                0.87279,                 0.9071,                0.72543,                 0.7103,                0.53013,                 1.0608,             0.00061605,             0.00061605,             0.00061605
                     47,                0.85325,                0.77356,                 1.1092,                0.85713,                0.86365,                0.91319,                0.72769,                0.70704,                0.52377,                  1.054,             0.00060505,             0.00060505,             0.00060505
                     48,                 0.8478,                0.77742,                 1.1178,                0.85048,                0.83547,                0.90913,                0.72832,                0.69994,                0.53548,                 1.0538,             0.00059405,             0.00059405,             0.00059405
